time,y
2017-05-01 0:00,27.8
2017-05-01 0:05,27
2017-05-01 0:10,26.8
2017-05-01 0:15,26.5
2017-05-01 0:20,25.6
2017-05-01 0:25,25
2017-05-01 0:30,24.9
2017-05-01 0:35,24.1
2017-05-01 0:40,23.7
2017-05-01 0:45,23.2
2017-05-01 0:50,22.6
2017-05-01 0:55,21.5
2017-05-01 1:00,20.8
2017-05-01 1:05,20.1
2017-05-01 1:10,19.1
2017-05-01 1:15,17.9
2017-05-01 1:20,17.5
2017-05-01 1:25,16.6
2017-05-01 1:30,16.2
2017-05-01 1:35,15.5
2017-05-01 1:40,14.9
2017-05-01 1:45,14.5
2017-05-01 1:50,14.2
2017-05-01 1:55,13.6
2017-05-01 2:00,13.4
2017-05-01 2:05,13
2017-05-01 2:10,12.6
2017-05-01 2:15,12.3
2017-05-01 2:20,12
2017-05-01 2:25,11.8
2017-05-01 2:30,11.5
2017-05-01 2:35,11.2
2017-05-01 2:40,11.1
2017-05-01 2:45,10.9
2017-05-01 2:50,10.6
2017-05-01 2:55,10.4
2017-05-01 3:00,10.2
2017-05-01 3:05,10
2017-05-01 3:10,9.9
2017-05-01 3:15,9.8
2017-05-01 3:20,9.6
2017-05-01 3:25,9.4
2017-05-01 3:30,9.3
2017-05-01 3:35,9.1
2017-05-01 3:40,9
2017-05-01 3:45,9
2017-05-01 3:50,8.9
2017-05-01 3:55,8.8
2017-05-01 4:00,8.6
2017-05-01 4:05,8.5
2017-05-01 4:10,8.5
2017-05-01 4:15,8.4
2017-05-01 4:20,8.3
2017-05-01 4:25,8.2
2017-05-01 4:30,8.2
2017-05-01 4:35,8.1
2017-05-01 4:40,8
2017-05-01 4:45,7.9
2017-05-01 4:50,7.8
2017-05-01 4:55,7.7
2017-05-01 5:00,7.7
2017-05-01 5:05,7.6
2017-05-01 5:10,7.5
2017-05-01 5:15,7.4
2017-05-01 5:20,7.4
2017-05-01 5:25,7.4
2017-05-01 5:30,7.3
2017-05-01 5:35,7.3
2017-05-01 5:40,7
2017-05-01 5:45,7
2017-05-01 5:50,7
2017-05-01 5:55,6.9
2017-05-01 6:00,7
2017-05-01 6:05,7
2017-05-01 6:10,6.8
2017-05-01 6:15,6.8
2017-05-01 6:20,6.7
2017-05-01 6:25,6.7
2017-05-01 6:30,6.7
2017-05-01 6:35,6.7
2017-05-01 6:40,6.6
2017-05-01 6:45,6.4
2017-05-01 6:50,6.2
2017-05-01 6:55,6.1
2017-05-01 7:00,6
2017-05-01 7:05,5.9
2017-05-01 7:10,5.7
2017-05-01 7:15,5.5
2017-05-01 7:20,5.4
2017-05-01 7:25,5.3
2017-05-01 7:30,5.2
2017-05-01 7:35,5.1
2017-05-01 7:40,5
2017-05-01 7:45,5
2017-05-01 7:50,4.9
2017-05-01 7:55,4.9
2017-05-01 8:00,4.8
2017-05-01 8:05,4.7
2017-05-01 8:10,4.8
2017-05-01 8:15,4.8
2017-05-01 8:20,4.8
2017-05-01 8:25,4.7
2017-05-01 8:30,4.6
2017-05-01 8:35,4.6
2017-05-01 8:40,4.6
2017-05-01 8:45,4.6
2017-05-01 8:50,4.6
2017-05-01 8:55,4.4
2017-05-01 9:00,4.3
2017-05-01 9:05,4.3
2017-05-01 9:10,4.2
2017-05-01 9:15,4.1
2017-05-01 9:20,4
2017-05-01 9:25,4
2017-05-01 9:30,4.1
2017-05-01 9:35,3.9
2017-05-01 9:40,3.8
2017-05-01 9:45,3.8
2017-05-01 9:50,3.9
2017-05-01 9:55,3.9
2017-05-01 10:00,3.8
